"Ligand","Receptor","Score"
"1","SEMA4D","PLXNB1",0.905012370968716
"2","BMP7","BMPR2",0.891739301779863
"3","SEMA5A","PLXNB3",0.873316492623475
"4","IGF1","IGF1R",0.831915644489336
"5","BMP7","ACVR2A",0.795972700279443
"6","CALR","SCARF1",0.782052651964811
"7","TGFB1","TGFBR1",0.779079048126132
"8",NA,"PVRIG",0.723645201657622
"9",NA,"PVRIG",0.723645201657622
"10","TNF","TNFRSF1B",0.703577697561654
"11","INHBA","ACVR2A",0.699611373669873
"12","IL1B","IL1RAP",0.680062244361278
"13","BMP7","ACVR2B",0.660087497954821
"14","CDH1","PKD1",0.635170243331014
"15","FGF5","FGFR1",0.631270698915963
"16","IGF1","INSR",0.614300565222953
"17","TNC","CNTN1",0.601226684016979
"18","TNF","FLT4",0.597929173036139
"19","TGFA","ERBB4",0.563302963228826
"20","INHBA","ACVR2B",0.546248277387592
"21","TNF","NEO1",0.540852547563468
"22","TNF","PTPRS",0.531487497818123
"23","INHBA","ACVR1B",0.530685127554615
"24","CALR","LRP1",0.510877418586597
"25","TGFB1","BMPR1A",0.501397932791088
"26","CDH1","ITGAE",0.497098133676651
"27","TNF","PTPRZ1",0.483219126172915
"28","TNF","DAG1",0.477455224687969
"29","TNC","PTPRB",0.454548057229063
"30","FGF5","FGFR2",0.448572987232142
"31","DSC3","RYK",0.433876024535178
"32","TNF","CELSR2",0.425809565751151
"33","TGFB1","F11R",0.412821019974249
"34","TGFB1","ERBB2",0.408564532940107
"35","TNF","PLXNA2",0.407679525754549
"36","TGFB1","ITGAV",0.398951336367493
"37","CDH1","CDH2",0.376368947924415
"38","TNF","TNFRSF21",0.376234095367595
"39","TGFA","ERBB2",0.365930658480146
"40","TNF","RASA3",0.35590483262188
"41","CDH1","EGFR",0.351445048896105
"42","TNF","PCDH7",0.328323016190999
"43","TGFA","EGFR",0.327860357450661
"44","CDH1","FGFR1",0.315415639604708
"45","TGFB1","BAMBI",0.310694065640517
"46","CDH1","LRP6",0.306471879579081
"47","CDH1","F11R",0.30287459408788
"48","SPP1","NCSTN",0.300017165510666
"49","CDH1","DDR1",0.298728996786556
"50","SEMA4D","ERBB2",0.285217516923909
