"Ligand","Receptor","Score"
"1","ITGAM","JAM3",1.27410318850532
"2","JAM2","JAM3",1.27287447834719
"3","JAM3","JAM2",1.18982468825863
"4","TDGF1","ACVR1B",0.913765164209772
"5","BMP7","BMPR2",0.891739301779863
"6","SEMA5A","PLXNB3",0.873316492623475
"7","BMP7","ACVR2A",0.795972700279443
"8","PLXNB2","PVRIG",0.723645201657622
"9","BMP7","ACVR2B",0.660087497954821
"10","FGF5","FGFR1",0.631270698915963
"11","TDGF1","ACVR2A",0.604953913336047
"12","TNC","CNTN1",0.601226684016979
"13","ITGAM","ICAM1",0.494864227834824
"14","PIK3CB","KLRD1",0.481118435501952
"15","TNFSF14","TNFRSF6B",0.459654839432684
"16","TNC","PTPRB",0.454548057229063
"17","FGF5","FGFR2",0.448572987232142
"18","TDGF1","GPC1",0.438422761541161
"19","DSC3","RYK",0.433876024535178
"20","PIK3CB","AXL",0.407636627771349
"21","PIK3CB","GFRA1",0.402862345811704
"22","PIK3CB","KLRK1",0.396089309283829
"23","PIK3CB","ERBB3",0.38511909581142
"24","WNT7B","FZD3",0.351453990261573
"25","JAM2","F11R",0.326519703374384
"26","ICAM4","ITGB1",0.306368676633559
"27","SPP1","NCSTN",0.300017165510666
"28","ICAM4","ITGAL",0.294953702193005
"29","PIK3CB","FGFR2",0.293659672987979
"30","PIK3CB","CD3G",0.291020788607588
"31","PLXNB2","PTPRK",0.278725090260242
"32","WNT7B","FZD4",0.277854983292868
"33","TNC","SDC3",0.275715556681802
"34","EDN1","QRFPR",0.272258110371466
"35","PIK3CB","TNFRSF10B",0.270017059050465
"36","PLXNB2","PTCH1",0.269566393069036
"37","EDN1","NPFFR2",0.268934986037045
"38","TDGF1","ACVR2B",0.267862619744062
"39",NA,"SORT1",0.266002099764176
"40",NA,"SORT1",0.266002099764176
"41","PIK3CB","FGFR1",0.265842976652121
"42","WNT7B","LRP5",0.258745384638981
"43","TNC","EGFR",0.258043665797532
"44","EDN1","PTAFR",0.256264817506606
"45","EDN1","F2RL3",0.251754158007685
"46","GPNMB","EGFR",0.247127338610551
"47","LAMB2","PTPRK",0.245342121284312
"48","TNC","ITGAV",0.241769923321387
"49","TNC","ITGB1",0.240961163066389
"50","PECAM1","GPC1",0.23819122807329
