"Ligand","Receptor","Score"
"1","CSF1","CSF1R",1.3399142492834
"2","TNFSF15","TNFRSF25",1.07624837484207
"3","TNFSF14","TNFRSF14",1.04423548801219
"4","ITGAL","F11R",1.00383969605674
"5","APP","TNFRSF21",0.963564490298628
"6","IL10","IL10RA",0.86976511502717
"7","IL10","IL10RB",0.863884762154697
"8","IGF1","IGF1R",0.831915644489336
"9","CALR","SCARF1",0.782052651964811
"10","TNFSF14","LTBR",0.686973451503675
"11","APP","SORL1",0.648204425236966
"12","MIF","CD74",0.616099017851631
"13","IGF1","INSR",0.614300565222953
"14","CSF1","CLDN11",0.587382969406184
"15","NDP","FZD4",0.585673157181875
"16","CRTAM","CADM1",0.542210433418486
"17","APP","LRP1",0.511968726300922
"18","CALR","LRP1",0.510877418586597
"19","APP","ROBO3",0.510398976211905
"20","APP","CD36",0.500673288537109
"21","DLL1","NOTCH2",0.499903320363215
"22","APP","CD74",0.489803038184693
"23","ADAM17","NOTCH1",0.481738340608718
"24","ADAM17","IL6R",0.481629489806837
"25","CALR","CD40",0.48119622876663
"26","ADAM17","GHR",0.470600039451137
"27","ITGAL","ICAM1",0.459955516449965
"28","APP","TGFBR2",0.441123409872093
"29","DLL1","NOTCH1",0.438676797398796
"30","IL10","IFNAR2",0.416631930992497
"31","APP","TNFRSF14",0.406006334605716
"32","MIF","TNFRSF14",0.405857354252876
"33","APP","PRNP",0.391507462157382
"34","CSF1","CSF3R",0.387925467376123
"35","APP","IGF1R",0.384483165441688
"36","ADAM17","TNFRSF1B",0.369319140177306
"37","APP","NOTCH1",0.353895823618289
"38","APP","ALOX5",0.352380621326155
"39","CSF1","CSF2RA",0.351804206334404
"40","DLL1","NOTCH4",0.346663079159761
"41","NLGN3","TGFBR1",0.332781613317684
"42","AGT","OPRK1",0.323416619968671
"43","ADAM17","TNFRSF1A",0.316229024583641
"44","APP","VIPR2",0.304238503440997
"45","APP","OPRK1",0.299002917687375
"46","APP","ITGA6",0.297989644250464
"47","APLN","CXCR4",0.278869593167636
"48",NA,"QRFPR",0.272258110371466
"49",NA,"QRFPR",0.272258110371466
"50",NA,"NPFFR2",0.268934986037045
