"Ligand","Receptor","Score"
"1","JAM2","JAM3",1.27287447834719
"2","BMP2","RGMB",1.26886795827867
"3","TNFSF15","TNFRSF25",1.07624837484207
"4","APP","TNFRSF21",0.963564490298628
"5","PKD1","PKD2",0.904228089071809
"6","ICAM1","SPN",0.863148515952939
"7","BMP2","BMPR2",0.830081918965643
"8","PLXNB3","SEMA5A",0.773779392150827
"9","ADIPOQ","ADIPOR1",0.730702249399537
"10","EREG","ERBB3",0.727170217922897
"11","ADIPOQ","ADIPOR2",0.69559329143543
"12","APP","SORL1",0.648204425236966
"13","FGF5","FGFR1",0.631270698915963
"14","HMGB1","TLR4",0.594092723136856
"15","IL11","IL6ST",0.540864262754444
"16","PIK3CB","TREM2",0.531703882901619
"17","APP","LRP1",0.511968726300922
"18","APP","ROBO3",0.510398976211905
"19","APP","CD36",0.500673288537109
"20","SEMA4D","PTPRC",0.487573387937797
"21","LRPAP1","LRP1",0.486493867489844
"22","ADAM17","NOTCH1",0.481738340608718
"23","ADAM17","IL6R",0.481629489806837
"24","PIK3CB","KLRD1",0.481118435501952
"25","ADAM17","GHR",0.470600039451137
"26","HLA-E","PLXNB2",0.46093201211218
"27","NCAM1","FGFR1",0.455826559469436
"28","FGF5","FGFR2",0.448572987232142
"29","APP","TGFBR2",0.441123409872093
"30","PIK3CB","FCGR2A",0.440702341372335
"31","EFNA2","EPHA2",0.41646625283371
"32","HLA-E","PLXNA3",0.409379775460498
"33","ICAM1","ITGAX",0.40875449117304
"34","PIK3CB","AXL",0.407636627771349
"35","APP","TNFRSF14",0.406006334605716
"36","GDF11","TGFBR1",0.400790755109038
"37","HMGB1","LY96",0.398844989140102
"38","PIK3CB","ERBB3",0.38511909581142
"39","PLXNB3","MET",0.381805793466126
"40","PVR","TNFRSF12A",0.371187599165817
"41","ADAM17","TNFRSF1B",0.369319140177306
"42","NCAM1","FGFR2",0.357953352690328
"43","APP","NOTCH1",0.353895823618289
"44","APP","ALOX5",0.352380621326155
"45","BMP2","ACVR2A",0.346663569292726
"46","PIK3CB","FCGR3A",0.341563624333981
"47","PIK3CB","FCGR1A",0.340127871624155
"48","HMGB1","AGTRAP",0.330874204057404
"49","JAM2","F11R",0.326519703374384
"50","PIK3CB","CSF2RA",0.320176409294609
