"Ligand","Receptor","Score"
"1","SPP1","CALM1",5.41505451833945
"2","CALR","RPSA",4.83564899348809
"3","IL1B","CALM1",4.2492608133944
"4","SPP1","EGFR",4.06386784941651
"5","CALR","ATP5B",3.62232233519243
"6","CALR","CALM1",3.16128717074889
"7","IL1B","EGFR",3.12710695968681
"8","SPP1","NCSTN",2.87551759482272
"9","TNF","RPSA",2.77973612761427
"10","TNF","PTPRZ1",2.53977882023921
"11","CALR","EGFR",2.50191553680284
"12","IL1B","LRP1",2.19857669468013
"13","SPP1","ITGB1",2.15183282257862
"14","CALR","LRP1",2.01743075150103
"15","TNF","PTPRS",1.97419725019098
"16","TNF","CALM1",1.88757095225689
"17","COPA","ATP5B",1.82783777069412
"18","IL1B","NOTCH1",1.75264182630625
"19","CALR","NCSTN",1.70505888759685
"20","IL1B","ITGB1",1.68024780380977
"21","TNF","EGFR",1.42645759563996
"22","MIF","EGFR",1.41222231028809
"23","SEMA4D","PLXNB1",1.39533095842061
"24","TNF","DDR1",1.31536142039891
"25","IL1B","IL6ST",1.26971800815728
"26","COPA","EGFR",1.24712704484584
"27","IL1B","INSR",1.24437198931772
"28","IL1B","IGF1R",1.18364369035932
"29","IGF1","RPSA",1.17531446777619
"30","SPP1","ITGAV",1.15925003044707
"31","YARS","RPSA",1.14786553398802
"32","IL1B","DAG1",1.1117858135957
"33","TNF","TNFRSF21",1.09384406861528
"34","IL1B","IL1RAP",1.08017632940873
"35","TNF","LRP1",1.00250983436966
"36","COPA","NCSTN",0.936850212666915
"37","TNF","CDH2",0.897755218106132
"38","IL6","IL6R",0.89186093446218
"39","IGF1","IGF1R",0.861765365704377
"40","CALR","SCARF1",0.835291369814998
"41","PLXNB2","PVRIG",0.834078790647814
"42","IL1B","SORT1",0.824676469709502
"43","TNF","DAG1",0.821940845251642
"44","TNF","CELSR2",0.785886395370154
"45","TNF","NOTCH1",0.771780463966794
"46","COPA","NOTCH2",0.770866562648294
"47","TNF","CHRM3",0.766311580707679
"48","BMP7","BMPR2",0.75381738292504
"49","IL6","IL6ST",0.75186870350079
"50","COPA","NOTCH1",0.750408988005569
